query_cid,query_smiles,query_energy,query_functional_group,query_formula,rank,ref_cid,ref_smiles,ref_status,distance
159337581,CC1(CC2/C(=C\C3=NC=CC(=C3)C(=O)NCCN=C(N)N)/C(=O)N2[C@H]1C(=O)O)C,-1.8464504778387436,Imine,C19H24N6O4,1,160753593,CC1(CC2/C(=C\C3=NC=CC(=C3)CN=C(N)N)/C(=O)N2[C@H]1C(=O)O)C,Success,0.000847
159337581,CC1(CC2/C(=C\C3=NC=CC(=C3)C(=O)NCCN=C(N)N)/C(=O)N2[C@H]1C(=O)O)C,-1.8464504778387436,Imine,C19H24N6O4,2,160753594,CC1(CC2/C(=C\C3=NC=C(C=C3)CN=C(N)N)/C(=O)N2[C@H]1C(=O)O)C,Success,0.000858
159337581,CC1(CC2/C(=C\C3=NC=CC(=C3)C(=O)NCCN=C(N)N)/C(=O)N2[C@H]1C(=O)O)C,-1.8464504778387436,Imine,C19H24N6O4,3,162080843,CC1(CC2/C(=C\C3=NC=CC(=C3)C(=O)NCCN=CN)/C(=O)N2[C@H]1C(=O)O)C,Success,0.000986
159337581,CC1(CC2/C(=C\C3=NC=CC(=C3)C(=O)NCCN=C(N)N)/C(=O)N2[C@H]1C(=O)O)C,-1.8464504778387436,Imine,C19H24N6O4,4,173478281,CNC(=C)N=C/C(=C\N)/C(=O)NC1(CC1)C(=O)O,Success,0.001219
159337581,CC1(CC2/C(=C\C3=NC=CC(=C3)C(=O)NCCN=C(N)N)/C(=O)N2[C@H]1C(=O)O)C,-1.8464504778387436,Imine,C19H24N6O4,5,120695107,CC(C)C[C@@H](C(=O)O)NC(=O)CNC(=O)C1=CC=C(C=C1)C(=O)N,Success,0.001225
142586893,C1CC(OC1CSCP(O)O)N(C2=NC(=NC(=C2N)NCC3=CC=C(C=C3)F)Cl)N,-1.7987243235110668,Phosphine,C17H23ClFN6O3PS,1,91350815,COC1=CC=C(C=C1)C=CC2=C(N=C(N=C2Cl)N)NC3(CCC(C3)CO)O,Success,0.001302
142586893,C1CC(OC1CSCP(O)O)N(C2=NC(=NC(=C2N)NCC3=CC=C(C=C3)F)Cl)N,-1.7987243235110668,Phosphine,C17H23ClFN6O3PS,2,60142250,C1CN(CCN1C2=CC=C(C=C2)F)C(=S)SCC3=CC4=C(C=C3)N=C(N=C4N)N,Success,0.001336
142586893,C1CC(OC1CSCP(O)O)N(C2=NC(=NC(=C2N)NCC3=CC=C(C=C3)F)Cl)N,-1.7987243235110668,Phosphine,C17H23ClFN6O3PS,3,91548839,C1CC(C(C1CO)O)(CNC2=C(C(=NC(=N2)N)Cl)C=CC3=CC=CC=C3F)O,Success,0.001336
142586893,C1CC(OC1CSCP(O)O)N(C2=NC(=NC(=C2N)NCC3=CC=C(C=C3)F)Cl)N,-1.7987243235110668,Phosphine,C17H23ClFN6O3PS,4,88965342,C1COCCC1NC2=NC(=NC=C2N=O)NC3=C(C=CC(=C3)F)N,Success,0.001350
142586893,C1CC(OC1CSCP(O)O)N(C2=NC(=NC(=C2N)NCC3=CC=C(C=C3)F)Cl)N,-1.7987243235110668,Phosphine,C17H23ClFN6O3PS,5,1319484,C1COCCN1C(=S)SCC2=NC(=NC(=N2)NC3=CC=CC=C3)N,Success,0.001367
173550135,CC(C)OC1=C(C=C2C(=C1)C(=NN2)C(=C)/C=C(\N=CN)/N3C[C@@H]([C@H](C3)O)N(C)C)F,-1.7563473880293259,Pyrrole_N,C21H29FN6O2,1,173550031,C[C@@H]1COC[C@H](N1/C(=C/C(=C)C2=NNC3=CC(=C(C=C32)OC(C)C)F)/N=CN)C,Success,0.000673
173550135,CC(C)OC1=C(C=C2C(=C1)C(=NN2)C(=C)/C=C(\N=CN)/N3C[C@@H]([C@H](C3)O)N(C)C)F,-1.7563473880293259,Pyrrole_N,C21H29FN6O2,2,173550129,CC(C)OC1=C(C=C2C(=C1)C(=NN2)C(=C)/C=C(\N=CN)/N3CCS(=O)CC3)F,Success,0.000926
173550135,CC(C)OC1=C(C=C2C(=C1)C(=NN2)C(=C)/C=C(\N=CN)/N3C[C@@H]([C@H](C3)O)N(C)C)F,-1.7563473880293259,Pyrrole_N,C21H29FN6O2,3,169267369,CC(=NC1CCN(CC1)C2COC2)/C(=N\N)/C3=CN4C(=C(C=N4)F)C(=C3)O,Success,0.000988
173550135,CC(C)OC1=C(C=C2C(=C1)C(=NN2)C(=C)/C=C(\N=CN)/N3C[C@@H]([C@H](C3)O)N(C)C)F,-1.7563473880293259,Pyrrole_N,C21H29FN6O2,4,123564339,CC(C)OC1=C(C=C(C(=C1)C(=N)C2=CC(=NC=N2)N3CCN(CC3)CCCO)N)F,Success,0.001030
173550135,CC(C)OC1=C(C=C2C(=C1)C(=NN2)C(=C)/C=C(\N=CN)/N3C[C@@H]([C@H](C3)O)N(C)C)F,-1.7563473880293259,Pyrrole_N,C21H29FN6O2,5,173550138,CC(C)OC1=C(C=C2C(=C1)C(=NN2)C(=CC(=N)N3CCOC(C3)(C)C)NC=C)F,Success,0.001055
69545241,CCOC(=O)CCC(=O)C1=CNC(=C1)C=C2C3=C(C=CC(=C3)NC(=O)N)NC2=O,-1.8170292824509033,Urea,C20H20N4O5,1,21957777,CCOC(=O)CCC(=O)C1=CNC(=C1)/C=C/2\C3=C(C=CC(=C3)NC(=O)N)NC2=O,Success,0.000523
69545241,CCOC(=O)CCC(=O)C1=CNC(=C1)C=C2C3=C(C=CC(=C3)NC(=O)N)NC2=O,-1.8170292824509033,Urea,C20H20N4O5,2,11452249,CCOC(=O)CCC(=O)C1=CNC(=C1)/C=C\2/C3=C(C=CC(=C3)NC(=O)N)NC2=O,Success,0.000660
69545241,CCOC(=O)CCC(=O)C1=CNC(=C1)C=C2C3=C(C=CC(=C3)NC(=O)N)NC2=O,-1.8170292824509033,Urea,C20H20N4O5,3,174374638,C1=CC(=CC(=C1)NC(=O)NCCC(=O)O)C(=O)NCC=O,Success,0.001209
69545241,CCOC(=O)CCC(=O)C1=CNC(=C1)C=C2C3=C(C=CC(=C3)NC(=O)N)NC2=O,-1.8170292824509033,Urea,C20H20N4O5,4,69448406,COC1=CC=C(C=C1)NC(=O)NC2=C(C3=C(S2)CC(=O)CC3)C(=O)N,Success,0.001320
69545241,CCOC(=O)CCC(=O)C1=CNC(=C1)C=C2C3=C(C=CC(=C3)NC(=O)N)NC2=O,-1.8170292824509033,Urea,C20H20N4O5,5,141117488,CCOC(=O)CCC(=O)C1=CNC(=C1)C=C2C=NC3=C2C=C(C=C3)NC(=O)N,Success,0.001325
119289737,CSCC[C@@H](C(=O)N1CCC(CC1)C(=O)NCC2=CC=C(C=C2)F)N,-1.7692258954049294,Amine_primary,C18H26FN3O2S,1,119287969,CC1=C(C=C(C=C1)CNC(=O)C2CCN(CC2)C(=O)C(C)N)F,Success,0.000485
119289737,CSCC[C@@H](C(=O)N1CCC(CC1)C(=O)NCC2=CC=C(C=C2)F)N,-1.7692258954049294,Amine_primary,C18H26FN3O2S,2,119287979,CC1=C(C=C(C=C1)CNC(=O)C2CCN(CC2)C(=O)[C@@H](C)N)F,Success,0.000489
119289737,CSCC[C@@H](C(=O)N1CCC(CC1)C(=O)NCC2=CC=C(C=C2)F)N,-1.7692258954049294,Amine_primary,C18H26FN3O2S,3,119314587,CSCC[C@@H](C(=O)N1CCC(CC1)C(=O)NC2=CC=C(C=C2)F)N,Success,0.000517
119289737,CSCC[C@@H](C(=O)N1CCC(CC1)C(=O)NCC2=CC=C(C=C2)F)N,-1.7692258954049294,Amine_primary,C18H26FN3O2S,4,68525226,CC(=O)NCC1CCN(CC1)C(=O)[C@H](CC2=CC=C(C=C2)F)N,Success,0.000560
119289737,CSCC[C@@H](C(=O)N1CCC(CC1)C(=O)NCC2=CC=C(C=C2)F)N,-1.7692258954049294,Amine_primary,C18H26FN3O2S,5,121821349,CC(C)[C@@H](C(=O)N1CCC(CC1)C(=O)NCC2=CC=C(C=C2)F)N,Success,0.000563
54393249,C1CCC(CC1)P(CCCP(CCS)C2CCCCC2)CCS,-1.7171408534051693,Phosphine,C19H38P2S2,1,175632854,C1CC(C1)CCC2(CCCC(C2)CCS)CS,Success,0.000357
54393249,C1CCC(CC1)P(CCCP(CCS)C2CCCCC2)CCS,-1.7171408534051693,Phosphine,C19H38P2S2,2,23345389,C1CCC(CC1)C(CS)(CS)C2CCCCC2,Success,0.000407
54393249,C1CCC(CC1)P(CCCP(CCS)C2CCCCC2)CCS,-1.7171408534051693,Phosphine,C19H38P2S2,3,174718309,C1CCC(CC1)CSOSCC2CCCCC2,Success,0.000411
54393249,C1CCC(CC1)P(CCCP(CCS)C2CCCCC2)CCS,-1.7171408534051693,Phosphine,C19H38P2S2,4,129652323,C1CC2CCPP(C1)C2,Success,0.000413
54393249,C1CCC(CC1)P(CCCP(CCS)C2CCCCC2)CCS,-1.7171408534051693,Phosphine,C19H38P2S2,5,90938963,CP1[C@H](CCP1)C2CCCC2,Success,0.000425
25152734,C1=NC(=C2C(=N1)N(N=N2)[C@H]3C([C@@H]([C@H](O3)/C=C/P(=O)(O)O)O)O)N,-1.932611629367102,Phosphine_oxide,C10H13N6O6P,1,25151558,C1=NC(=C2C(=N1)N(N=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)/C=C/P(=O)(O)O)O)O)N,Success,0.000155
25152734,C1=NC(=C2C(=N1)N(N=N2)[C@H]3C([C@@H]([C@H](O3)/C=C/P(=O)(O)O)O)O)N,-1.932611629367102,Phosphine_oxide,C10H13N6O6P,2,91244752,C1=NC(=C2C(=N1)N(N=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)C=CP(=O)(O)O)O)O)N,Success,0.000694
25152734,C1=NC(=C2C(=N1)N(N=N2)[C@H]3C([C@@H]([C@H](O3)/C=C/P(=O)(O)O)O)O)N,-1.932611629367102,Phosphine_oxide,C10H13N6O6P,3,15613703,C1=NC(=C2C(=N1)N(N=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,Success,0.001149
25152734,C1=NC(=C2C(=N1)N(N=N2)[C@H]3C([C@@H]([C@H](O3)/C=C/P(=O)(O)O)O)O)N,-1.932611629367102,Phosphine_oxide,C10H13N6O6P,4,69755897,C1=NC(=C2C(=N1)N(N=N2)[C@H]3C(C([C@H](O3)COP(=O)(O)O)O)O)N,Success,0.001206
25152734,C1=NC(=C2C(=N1)N(N=N2)[C@H]3C([C@@H]([C@H](O3)/C=C/P(=O)(O)O)O)O)N,-1.932611629367102,Phosphine_oxide,C10H13N6O6P,5,68776303,C1C(C(OC1OCP(=O)(O)O)N2C3=NC=NC(=C3N=N2)N)O,Success,0.001245
46936740,C1[C@H]([C@@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)O)O)O,-1.7700325399636654,Phosphoramidate,C9H15N3O10P2,1,449098,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)O)O)O,Success,0.000063
46936740,C1[C@H]([C@@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)O)O)O,-1.7700325399636654,Phosphoramidate,C9H15N3O10P2,2,172642452,C1[C@@H](O[C@@H](C1O)COP(=O)(NP(=O)(O)O)O)N2C=CC(=O)NC2=O,Success,0.000373
46936740,C1[C@H]([C@@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)O)O)O,-1.7700325399636654,Phosphoramidate,C9H15N3O10P2,3,23644274,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)O)O)O,Success,0.000383
46936740,C1[C@H]([C@@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)O)O)O,-1.7700325399636654,Phosphoramidate,C9H15N3O10P2,4,448381,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)OP(=O)(O)O)O)O,Success,0.000954
46936740,C1[C@H]([C@@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)O)O)O,-1.7700325399636654,Phosphoramidate,C9H15N3O10P2,5,46936269,C1[C@H]([C@@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(NP(=O)(O)OP(=O)(O)O)O)O,Success,0.000974
101591883,C[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN,-1.7545380443335716,Ether,C18H24N4O7,1,101591881,C[C@H](C(=O)N[C@H](CC(=O)O)C(=O)O)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)CN,Success,0.000018
101591883,C[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN,-1.7545380443335716,Ether,C18H24N4O7,2,101591885,C[C@@H](C(=O)N[C@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN,Success,0.000019
101591883,C[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN,-1.7545380443335716,Ether,C18H24N4O7,3,121835,C[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)CN,Success,0.000021
101591883,C[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN,-1.7545380443335716,Ether,C18H24N4O7,4,10092855,C[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN,Success,0.000021
101591883,C[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN,-1.7545380443335716,Ether,C18H24N4O7,5,101591884,C[C@H](C(=O)N[C@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN,Success,0.000027
1756596,CC[C@H](C(=O)NN=CC1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,-1.8289792239665985,Hydrazone,C22H22ClN3O2,1,1756592,CC[C@@H](C(=O)NN=CC1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,Success,0.000020
1756596,CC[C@H](C(=O)NN=CC1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,-1.8289792239665985,Hydrazone,C22H22ClN3O2,2,3313690,CCC(C(=O)NN=CC1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,Success,0.000049
1756596,CC[C@H](C(=O)NN=CC1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,-1.8289792239665985,Hydrazone,C22H22ClN3O2,3,135782081,CCC(C(=O)N/N=C\C1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,Success,0.000459
1756596,CC[C@H](C(=O)NN=CC1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,-1.8289792239665985,Hydrazone,C22H22ClN3O2,4,136774359,CC[C@@H](C(=O)N/N=C\C1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,Success,0.000468
1756596,CC[C@H](C(=O)NN=CC1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,-1.8289792239665985,Hydrazone,C22H22ClN3O2,5,136774360,CC[C@H](C(=O)N/N=C\C1=C(C=CC2=CC=CC=C21)O)NC3=C(C=C(C=C3)Cl)C,Success,0.000472
160943,C1CC(=O)N(C1)C(=O)C2=CC=C(C=C2)C(=O)N3CCCC3=O,-1.8064947426321396,Imide,C16H16N2O4,1,206162,C1CC(=O)N(C1)C(=O)C2=CC(=CC=C2)C(=O)N3CCCC3=O,Success,0.000115
160943,C1CC(=O)N(C1)C(=O)C2=CC=C(C=C2)C(=O)N3CCCC3=O,-1.8064947426321396,Imide,C16H16N2O4,2,141121914,C1CC(=O)N(C1)C(=O)C2=CC=CC=C2C(=O)N3CCCC3=O,Success,0.000380
160943,C1CC(=O)N(C1)C(=O)C2=CC=C(C=C2)C(=O)N3CCCC3=O,-1.8064947426321396,Imide,C16H16N2O4,3,134817675,CCCN1C(=O)CC(C1=O)CN2C(=O)C3=CC=CC=C3C2=O,Success,0.000599
160943,C1CC(=O)N(C1)C(=O)C2=CC=C(C=C2)C(=O)N3CCCC3=O,-1.8064947426321396,Imide,C16H16N2O4,4,162396701,C1CC(=O)N(C1=O)CCCCCN2C(=O)C3=CC=CC=C3C2=O,Success,0.000667
160943,C1CC(=O)N(C1)C(=O)C2=CC=C(C=C2)C(=O)N3CCCC3=O,-1.8064947426321396,Imide,C16H16N2O4,5,154092465,CCCN1C(=O)CC(CC1=O)N2C(=O)C3=CC=CC=C3C2=O,Success,0.000860
21356487,CC1=NC(=C(NC1=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)OP(=O)(O)O)O,-1.7190232723951908,Phosphonic_acid,C10H17N3O11P2,1,21356488,CC1=NC(=C(NC1=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,Success,0.000811
21356487,CC1=NC(=C(NC1=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)OP(=O)(O)O)O,-1.7190232723951908,Phosphonic_acid,C10H17N3O11P2,2,146511215,C1[C@H]([C@@H](OC1COP(=O)(O)O)N2C=NC(=C2N)C(=O)N)O,Success,0.001344
21356487,CC1=NC(=C(NC1=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)OP(=O)(O)O)O,-1.7190232723951908,Phosphonic_acid,C10H17N3O11P2,3,122543116,CC1=C(N=CC(=O)N1)[C@H]2[C@H](C([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,Success,0.001404
21356487,CC1=NC(=C(NC1=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)OP(=O)(O)O)O,-1.7190232723951908,Phosphonic_acid,C10H17N3O11P2,4,122543126,CC1=NC(=CNC1=O)[C@H]2[C@H](C([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,Success,0.001416
21356487,CC1=NC(=C(NC1=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)OP(=O)(O)O)O,-1.7190232723951908,Phosphonic_acid,C10H17N3O11P2,5,146511369,C1[C@H](O[C@H]([C@@H]1O)N2C=NC(=C2N)C(=O)N)COP(=O)(O)O,Success,0.001421
97242826,CC1=CC(=C(C=C1)CNC(=O)N(C)C[C@H]2CCN(C2)C(=O)C)N(C)C,-1.7303792983295807,Urea,C19H30N4O2,1,97242825,CC1=CC(=C(C=C1)CNC(=O)N(C)C[C@@H]2CCN(C2)C(=O)C)N(C)C,Success,0.000018
97242826,CC1=CC(=C(C=C1)CNC(=O)N(C)C[C@H]2CCN(C2)C(=O)C)N(C)C,-1.7303792983295807,Urea,C19H30N4O2,2,75389190,CC1=CC(=C(C=C1)CNC(=O)N(C)CC2CCN(C2)C(=O)C)N(C)C,Success,0.000049
97242826,CC1=CC(=C(C=C1)CNC(=O)N(C)C[C@H]2CCN(C2)C(=O)C)N(C)C,-1.7303792983295807,Urea,C19H30N4O2,3,75389176,CC1=C(C=CC(=C1)N(C)C)CNC(=O)N(C)CC2CCN(C2)C(=O)C,Success,0.000227
97242826,CC1=CC(=C(C=C1)CNC(=O)N(C)C[C@H]2CCN(C2)C(=O)C)N(C)C,-1.7303792983295807,Urea,C19H30N4O2,4,97242770,CC1=C(C=CC(=C1)N(C)C)CNC(=O)N(C)C[C@H]2CCN(C2)C(=O)C,Success,0.000231
97242826,CC1=CC(=C(C=C1)CNC(=O)N(C)C[C@H]2CCN(C2)C(=O)C)N(C)C,-1.7303792983295807,Urea,C19H30N4O2,5,97242769,CC1=C(C=CC(=C1)N(C)C)CNC(=O)N(C)C[C@@H]2CCN(C2)C(=O)C,Success,0.000232
101596466,C1C[C@H](N(C1)C(=O)CN)C(=O)N[C@H](CCCN=C(N)N)C(=O)N2CCCC2C(=O)O,-1.7552841901781449,Amide_O,C18H31N7O5,1,59900876,C1C[C@H](N(C1)C(=O)CN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CCCC2C(=O)O,Success,0.000019
101596466,C1C[C@H](N(C1)C(=O)CN)C(=O)N[C@H](CCCN=C(N)N)C(=O)N2CCCC2C(=O)O,-1.7552841901781449,Amide_O,C18H31N7O5,2,70093991,C1C[C@H](N(C1)C(=O)[C@H](CCCN=C(N)N)NC(=O)C2CCCN2C(=O)CN)C(=O)O,Success,0.000025
101596466,C1C[C@H](N(C1)C(=O)CN)C(=O)N[C@H](CCCN=C(N)N)C(=O)N2CCCC2C(=O)O,-1.7552841901781449,Amide_O,C18H31N7O5,3,174359140,C1C[C@H](N(C1)C(=O)CN)C(=O)NC(CCCN=C(N)N)C(=O)N2CCC[C@H]2C(=O)O,Success,0.000027
101596466,C1C[C@H](N(C1)C(=O)CN)C(=O)N[C@H](CCCN=C(N)N)C(=O)N2CCCC2C(=O)O,-1.7552841901781449,Amide_O,C18H31N7O5,4,123681,C1C[C@H](N(C1)C(=O)CN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CCC[C@H]2C(=O)O,Success,0.000029
101596466,C1C[C@H](N(C1)C(=O)CN)C(=O)N[C@H](CCCN=C(N)N)C(=O)N2CCCC2C(=O)O,-1.7552841901781449,Amide_O,C18H31N7O5,5,124303811,C1C[C@@H](N(C1)C(=O)CN)C(=O)N[C@H](CCCN=C(N)N)C(=O)N2CCC[C@@H]2C(=O)O,Success,0.000035
167756437,CCN(CCC1CCN(CC1)C(=O)N[C@@H]2C[C@@H](C3=CC=CC=C23)CO)CC4CC4,-1.7159219682217781,Ether,C24H37N3O2,1,87003279,CCN1CCN(CC1)CC2=CC=CC=C2CNC(=O)NC(C3CC3)C4CC4,Success,0.000358
167756437,CCN(CCC1CCN(CC1)C(=O)N[C@@H]2C[C@@H](C3=CC=CC=C23)CO)CC4CC4,-1.7159219682217781,Ether,C24H37N3O2,2,136552531,CCC1(CCN(CC1)CC2=CC=CC=C2)CNC(=O)N3CC4CCC3C(C4)CO,Success,0.000363
167756437,CCN(CCC1CCN(CC1)C(=O)N[C@@H]2C[C@@H](C3=CC=CC=C23)CO)CC4CC4,-1.7159219682217781,Ether,C24H37N3O2,3,128230477,CC1CCC(C(C1)C2CCCN2C(=O)NCC3=CC=C(C=C3)CN4CCCC4)O,Success,0.000371
167756437,CCN(CCC1CCN(CC1)C(=O)N[C@@H]2C[C@@H](C3=CC=CC=C23)CO)CC4CC4,-1.7159219682217781,Ether,C24H37N3O2,4,132398073,C1CCC(CC1)C2=CC=C(C=C2)CCNC(=O)NC3CCN(CC3)C4CCOC4,Success,0.000409
167756437,CCN(CCC1CCN(CC1)C(=O)N[C@@H]2C[C@@H](C3=CC=CC=C23)CO)CC4CC4,-1.7159219682217781,Ether,C24H37N3O2,5,128853073,CC1CCN(CC1)C(CNC(=O)N2CCC(CC23CCC3)O)C4=CC=CC=C4,Success,0.000413
76944193,C1CC(N(C1)C(=O)C2=CC=C(C=C2)C(=NO)N)CCCO,-1.7553591132166844,Oxime,C15H21N3O3,1,76944197,C1CC(N(C1)C(=O)C2=CC=CC(=C2)C(=NO)N)CCCO,Success,0.000105
76944193,C1CC(N(C1)C(=O)C2=CC=C(C=C2)C(=NO)N)CCCO,-1.7553591132166844,Oxime,C15H21N3O3,2,76911306,C1CCC(C1)N(CCO)C(=O)C2=CC=CC(=C2)C(=NO)N,Success,0.000249
76944193,C1CC(N(C1)C(=O)C2=CC=C(C=C2)C(=NO)N)CCCO,-1.7553591132166844,Oxime,C15H21N3O3,3,76911305,C1CCC(C1)N(CCO)C(=O)C2=CC=C(C=C2)C(=NO)N,Success,0.000266
76944193,C1CC(N(C1)C(=O)C2=CC=C(C=C2)C(=NO)N)CCCO,-1.7553591132166844,Oxime,C15H21N3O3,4,76911309,CC(C)N(CCCO)C(=O)C1=CC=CC(=C1)C(=NO)N,Success,0.000410
76944193,C1CC(N(C1)C(=O)C2=CC=C(C=C2)C(=NO)N)CCCO,-1.7553591132166844,Oxime,C15H21N3O3,5,76911308,CC(C)N(CCCO)C(=O)C1=CC=C(C=C1)C(=NO)N,Success,0.000421
138751377,C1CC(OC1COP(=O)(O)O)N2CNC3=C2N=CNC3=O,-1.804683059454078,Phosphate_ester,C10H15N4O6P,1,136247468,CN1CN(C2=C1C(=O)NC(=N2)N)C3CC(C(O3)CO)OP(=O)(O)O,Success,0.001019
