journal_name,journal_name_norm,issn,eissn,jcr_year,jif,categories,source_files,% of Articles in Citable items,% of Citable OA,2024 JCI,2024 JIF,5 Year JIF,5 Year JIF Quartile,AIS Quartile,AIS Rank,Article Influence Score,Citable Items,Cited Half-Life,Citing Half-Life,Edition,Eigenfactor,Immediacy Index,JCI Percentile,JCI Quartile,JCI Rank,JCR Abbreviation,JIF Percentile,JIF Quartile,JIF Rank,JIF Without Self Cites,Normalized Eigenfactor,Publisher,Total Articles,Total Citations
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,1873-216X,2024,37.0,"ENERGY & FUELS | ENGINEERING, CHEMICAL | THERMODYNAMICS","ENERGY & FUELS_JCR_JournalResults_02_2026.csv;ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv;THERMODYNAMICS_JCR_JournalResults_02_2026.csv",0%,39.56%,2.67,37,39.3,Q1,Q1,1/79 | 2/174 | 4/173,7.331,27,7.8,7.9,SCIE,0.009,5.1,95.88 | 98.01 | 99.37,Q1,1/79 | 4/176 | 8/182,PROG ENERG COMBUST,99.2 | 99.4 | 99.7,Q1,1/176 | 1/79 | 2/182,36.8,2.125,PERGAMON-ELSEVIER SCIENCE LTD,0,"18,841"
eScience,ESCIENCE,2097-2431,2667-1417,2024,36.6,"ELECTROCHEMISTRY | MATERIALS SCIENCE, MULTIDISCIPLINARY","ELECTROCHEMISTRY_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",63.49%,100%,5.58,36.6,35.9,Q1,Q1,1/44 | 7/455,7.359,63,1.8,4.7,SCIE,0.008,12.6,98.86 | 99.46,Q1,1/44 | 3/463,ESCIENCE,98.9 | 99.0,Q1,1/44 | 5/461,35.9,1.769,KEAI PUBLISHING LTD,40,"5,679"
Electrochemical Energy Reviews,ELECTROCHEMICAL ENERGY REVIEWS,2520-8489,2520-8136,2024,36.3,ELECTROCHEMISTRY,ELECTROCHEMISTRY_JCR_JournalResults_02_2026.csv,0%,39.39%,2.37,36.3,34.1,Q1,Q1,2/44,6.372,34,3.3,5.4,SCIE,0.007,9,94.32,Q1,3/44,ELECTROCHEM ENERGY R,96.6,Q1,2/44,35.7,1.667,SPRINGERNATURE,0,"5,833"
Nano-Micro Letters,NANO-MICRO LETTERS,2311-6706,2150-5551,2024,36.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",69.92%,100%,5.03,36.3,30.1,Q1,Q1,12/455 | 4/147 | 8/187,5.208,266,2.6,4.2,SCIE,0.039,16.2,98.66 | 99.03 | 99.66,Q1,1/147 | 3/187 | 5/463,NANO-MICRO LETT,98.7 | 98.8 | 99.0,Q1,2/147 | 3/187 | 6/461,34.6,8.679,SHANGHAI JIAO TONG UNIV PRESS,186,"35,542"
Joule,JOULE,2542-4351,2542-4351,2024,35.4,"CHEMISTRY, PHYSICAL | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",79.78%,14.86%,4,35.4,43.7,Q1,Q1,2/173 | 3/185 | 5/455,11.572,183,4.4,4.6,SCIE,0.071,9.8,98.11 | 98.38 | 98.63,Q1,3/182 | 4/185 | 8/463,JOULE,98.6,Q1,3/182 | 3/185 | 7/461,34.8,15.912,CELL PRESS,146,"44,869"
Nature Nanotechnology,NATURE NANOTECHNOLOGY,1748-3387,1748-3395,2024,35.1,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",93.75%,17.56%,5.01,35.1,40.5,Q1,Q1,2/147 | 4/455,12.669,208,7.1,6,SCIE,0.08,7.1,98.81 | 98.98,Q1,2/147 | 6/463,NAT NANOTECHNOL,98.3 | 98.4,Q1,3/147 | 8/461,34.8,17.979,NATURE PORTFOLIO,195,"80,966"
Nature Photonics,NATURE PHOTONICS,1749-4885,1749-4893,2024,32.9,"OPTICS | PHYSICS, APPLIED","OPTICS_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",94.94%,23.48%,7.47,32.9,38.2,Q1,Q1,1/125 | 3/187,12.421,158,7.7,6.3,SCIE,0.057,10.1,99.60 | 99.73,Q1,1/125 | 1/187,NAT PHOTONICS,98.1 | 99.6,Q1,1/125 | 4/187,32.3,12.842,NATURE PORTFOLIO,150,"61,047"
eLight,ELIGHT,2097-1710,2662-8643,2024,32.1,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,85.71%,100%,7.15,32.1,32.2,Q1,Q1,2/125,10.053,21,2,6.1,SCIE,0.004,5,98.80,Q1,2/125,ELIGHT,98.8,Q1,2/125,31.8,0.942,SPRINGERNATURE,18,"1,809"
Interdisciplinary Materials,INTERDISCIPLINARY MATERIALS,2767-4401,2767-441X,2024,31.6,"CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",52.31%,100%,2.71,31.6,31.6,Q1,Q1,4/185 | 5/187 | 9/455,6.234,65,2.1,4.6,ESCI,0.003,5.6,95.41 | 96.52 | 96.87,Q1,15/463 | 7/187 | 9/185,INTERD MATER,97.6 | 98.1 | 98.2,Q1,4/185 | 5/187 | 9/461,30.7,0.727,WILEY,34,"2,501"
Energy & Environmental Science,ENERGY AND ENVIRONMENTAL SCIENCE,1754-5692,1754-5706,2024,31.0,"CHEMISTRY, MULTIDISCIPLINARY | ENERGY & FUELS | ENGINEERING, CHEMICAL","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv;ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv",88.98%,19.64%,4.49,31,35.2,Q1,Q1,1/174 | 3/173 | 4/238,8.146,708,5.5,3.9,SCIE,0.117,5.3,99.18 | 99.72 | 99.79,Q1,1/176 | 1/241 | 2/182,ENERG ENVIRON SCI,98.1 | 98.5 | 99.1,Q1,2/176 | 4/182 | 4/239,29.7,26.302,ROYAL SOC CHEMISTRY,630,"124,260"
Annual Review of Condensed Matter Physics,ANNUAL REVIEW OF CONDENSED MATTER PHYSICS,1947-5454,1947-5462,2024,30.7,"PHYSICS, CONDENSED MATTER","PHYSICS, CONDENSED MATTER_JCR_JournalResults_02_2026.csv",0%,71.15%,1.39,30.7,28.7,Q1,Q1,3/79,12.078,15,6.7,10.7,SCIE,0.009,4.6,89.38,Q1,9/80,ANNU REV CONDEN MA P,98.1,Q1,2/80,30.7,2.049,ANNUAL REVIEWS,0,"6,123"
Annual Review of Fluid Mechanics,ANNUAL REVIEW OF FLUID MECHANICS,0066-4189,1545-4479,2024,30.2,"PHYSICS, FLUIDS & PLASMAS","PHYSICS, FLUIDS & PLASMAS_JCR_JournalResults_02_2026.csv",0%,73.13%,3.04,30.2,32.6,Q1,Q1,1/39,9.996,23,15.7,13.9,SCIE,0.008,10,98.78,Q1,1/41,ANNU REV FLUID MECH,98.8,Q1,1/41,30,1.837,ANNUAL REVIEWS,0,"18,806"
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,1873-6270,2024,29.5,"PHYSICS, MULTIDISCIPLINARY","PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",0%,35.4%,2.29,29.5,29.3,Q1,Q1,4/111,8.636,54,13.9,9.4,SCIE,0.018,10.5,94.30,Q1,7/114,PHYS REP,97.8,Q1,3/114,29.3,4.06,ELSEVIER,0,"37,977"
ACM COMPUTING SURVEYS,ACM COMPUTING SURVEYS,0360-0300,1557-7341,2024,28.0,"COMPUTER SCIENCE, THEORY & METHODS","COMPUTER SCIENCE, THEORY & METHODS_JCR_JournalResults_02_2026.csv",79.56%,17.23%,7.91,28,26.3,Q1,Q1,2/146,6.008,318,3.6,5.7,SCIE,0.042,7.2,99.66,Q1,1/147,ACM COMPUT SURV,99.7,Q1,1/147,27.6,9.429,ASSOC COMPUTING MACHINERY,253,"34,623"
Science Robotics,SCIENCE ROBOTICS,2470-9476,2470-9476,2024,27.5,ROBOTICS,ROBOTICS_JCR_JournalResults_02_2026.csv,93.75%,1.51%,5.24,27.5,32.9,Q1,Q1,1/47,9.473,80,4.6,6.7,SCIE,0.023,4.2,98.96,Q1,1/48,SCI ROBOT,99.0,Q1,1/48,26.8,5.173,AMER ASSOC ADVANCEMENT SCIENCE,75,"14,245"
Nature Sustainability,NATURE SUSTAINABILITY,2398-9629,2398-9629,2024,27.1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv,90.48%,22.81%,5.22,27.1,32.8,Q1,Q1,1/99,9.647,210,4.1,5.4,SSCI,0.048,5.1,99.51,Q1,1/103,NAT SUSTAIN,99.5,Q1,1/103,26.8,10.776,NATURE PORTFOLIO,190,"24,660"
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,0268-4012,1873-4707,2024,27.0,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,98.53%,34.44%,6.63,27,23,Q1,Q1,2/159,4.058,68,4.6,5.6,SSCI,0.023,7.3,99.70,Q1,1/166,INT J INFORM MANAGE,99.7,Q1,1/166,25.7,5.142,ELSEVIER SCI LTD,67,"23,587"
Wiley Interdisciplinary Reviews-Computational Molecular Science,WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL MOLECULAR SCIENCE,1759-0876,1759-0884,2024,27.0,"CHEMISTRY, MULTIDISCIPLINARY | MATHEMATICAL & COMPUTATIONAL BIOLOGY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;MATHEMATICAL & COMPUTATIONAL BIOLOGY_JCR_JournalResults_02_2026.csv",10%,30.09%,3.08,27,18.4,Q1,Q1,10/238 | 2/66,4.724,30,6.9,7.8,SCIE,0.01,2.2,97.30 | 99.25,Q1,1/67 | 7/241,WIRES COMPUT MOL SCI,98.1 | 99.3,Q1,1/67 | 5/239,26.9,2.146,WILEY,3,"12,176"
ADVANCED MATERIALS,ADVANCED MATERIALS,0935-9648,1521-4095,2024,26.8,"CHEMISTRY, MULTIDISCIPLINARY | CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv;PHYSICS, CONDENSED MATTER_JCR_JournalResults_02_2026.csv",87.53%,19.22%,3.79,26.8,28.9,Q1,Q1,10/455 | 3/147 | 4/79 | 5/185 | 6/187 | 7/238,6.076,"3,224",4.6,4.6,SCIE,0.448,5.6,97.57 | 97.62 | 97.95 | 98.13 | 98.96,Q1,10/463 | 2/80 | 3/241 | 4/147 | 4/187 | 5/185,ADV MATER,96.9 | 97.1 | 97.6 | 97.7 | 97.9,Q1,10/461 | 3/80 | 4/147 | 5/185 | 6/187 | 6/239,25.4,100.442,WILEY-V C H VERLAG GMBH,"2,822","459,817"
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MATERIALS SCIENCE AND ENGINEERING R-REPORTS,0927-796X,1879-212X,2024,26.8,"MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",24.75%,16.9%,1.98,26.8,36.7,Q1,Q1,4/187 | 8/455,6.875,101,8.2,4.6,SCIE,0.006,2.9,92.12 | 93.32,Q1,13/187 | 37/463,MAT SCI ENG R,97.1 | 97.9,Q1,10/461 | 6/187,26.4,1.446,ELSEVIER SCIENCE SA,25,"11,124"
PROGRESS IN POLYMER SCIENCE,PROGRESS IN POLYMER SCIENCE,0079-6700,1873-1619,2024,26.1,POLYMER SCIENCE,POLYMER SCIENCE_JCR_JournalResults_02_2026.csv,0%,18.84%,2.17,26.1,31.6,Q1,Q1,1/93,5.615,45,10.2,6.2,SCIE,0.012,6.9,98.40,Q1,2/94,PROG POLYM SCI,99.5,Q1,1/94,25.8,2.67,PERGAMON-ELSEVIER SCIENCE LTD,0,"29,638"
Advanced Energy Materials,ADVANCED ENERGY MATERIALS,1614-6832,1614-6840,2024,26.0,"CHEMISTRY, PHYSICAL | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv;PHYSICS, CONDENSED MATTER_JCR_JournalResults_02_2026.csv",88.12%,20.15%,3.51,26,26.8,Q1,Q1,11/455 | 5/173 | 5/79 | 6/185 | 7/187,5.577,"1,204",4.3,4.1,SCIE,0.173,5.1,96.88 | 97.03 | 97.52 | 97.59 | 98.08,Q1,12/463 | 3/80 | 4/182 | 5/187 | 6/185,ADV ENERGY MATER,95.6 | 96.0 | 97.0 | 97.5,Q1,12/461 | 4/80 | 5/182 | 6/185 | 8/187,24.9,38.775,WILEY-V C H VERLAG GMBH,"1,061","157,278"
PROCEEDINGS OF THE IEEE,PROCEEDINGS OF THE IEEE,0018-9219,1558-2256,2024,25.9,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",95.08%,18.69%,6.07,25.9,25,Q1,Q1,2/359,6.868,61,13.3,4.8,SCIE,0.024,2.5,99.59,Q1,2/368,P IEEE,99.6,Q1,2/368,25.6,5.474,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,58,"44,868"
Foundations and Trends in Machine Learning,FOUNDATIONS AND TRENDS IN MACHINE LEARNING,1935-8237,1935-8245,2024,25.4,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv",100%,6.25%,11.37,25.4,89,Q1,Q1,1/202,33.813,6,6.7,7.8,ESCI,0.006,2.2,99.75,Q1,1/204,FOUND TRENDS MACH LE,99.8,Q1,1/204,25.2,1.434,NOW PUBLISHERS INC,6,"4,667"
Advanced Powder Materials,ADVANCED POWDER MATERIALS,,2772-834X,2024,24.9,"CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,100%,5.58,24.9,24.9,Q1,Q1,18/455 | 9/185,4.058,56,1.7,3.9,ESCI,0.003,12.1,98.65 | 99.46,Q1,3/185 | 3/463,ADV POWDER MATER,96.5 | 97.3,Q1,13/461 | 7/185,24,0.588,KEAI PUBLISHING LTD,56,"2,722"
Carbon Energy,CARBON ENERGY,,2637-9368,2024,24.2,"CHEMISTRY, PHYSICAL | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",74.44%,100%,2.54,24.2,23,Q1,Q1,10/185 | 21/455 | 7/147 | 8/173,3.827,180,2.4,4.7,SCIE,0.01,6.2,92.86 | 93.24 | 94.71 | 95.33,Q1,11/147 | 13/185 | 25/463 | 9/182,CARBON ENERGY,95.9 | 96.9 | 97.0 | 97.1,Q1,14/461 | 5/147 | 6/182 | 8/185,22.7,2.266,WILEY,134,"8,843"
Nature Machine Intelligence,NATURE MACHINE INTELLIGENCE,,2522-5839,2024,23.9,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS_JCR_JournalResults_02_2026.csv",92.76%,27.85%,3.97,23.9,31.8,Q1,Q1,1/172 | 2/202,10.797,152,3.5,4.6,SCIE,0.04,3.6,98.28 | 99.72,Q1,1/177 | 4/204,NAT MACH INTELL,99.3 | 99.7,Q1,1/177 | 2/204,23.4,8.873,NATURE PORTFOLIO,141,"15,338"
Advances in Optics and Photonics,ADVANCES IN OPTICS AND PHOTONICS,1943-8206,,2024,23.8,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,63.64%,13.89%,3.39,23.8,31.5,Q1,Q1,3/125,8.223,11,7.1,5.6,SCIE,0.004,4.1,94.80,Q1,7/125,ADV OPT PHOTONICS,98.0,Q1,3/125,23.6,0.945,Optica Publishing Group,7,"4,926"
EnergyChem,ENERGYCHEM,2589-7780,2589-7780,2024,23.8,"CHEMISTRY, MULTIDISCIPLINARY | ENERGY & FUELS | ENGINEERING, CHEMICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv;ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",95.45%,3.17%,3.36,23.8,25.5,Q1,Q1,11/238 | 16/455 | 3/174 | 7/173,4.347,22,3.6,4.5,ESCI,0.003,6.7,97.30 | 97.53 | 98.13 | 99.15,Q1,13/463 | 2/176 | 5/182 | 5/241,ENERGYCHEM,96.4 | 96.9 | 97.3 | 98.6,Q1,15/461 | 3/176 | 7/182 | 7/239,23.7,0.776,ELSEVIER,21,"2,730"
