title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
Buried interface molecular hybrid for inverted perovskite solar cells,,NATURE,48.5,"[4-(3,6-dimethyl-9H-carbazol-9-yl)butyl]phosphonic acid (Me-4PACz)",164186534,,self-assembled molecule,phosphonic acid,co-assembled to improve the heterojunction interface,buried interface,26.54,,,,inverted perovskite solar cells,"PCE retention: 96.1 % (after more than 2,400h of 1-sun operation in ambient air)"
Buried interface molecular hybrid for inverted perovskite solar cells,,NATURE,48.5,"4,4,4 ''-nitrilotribenzoic acid (NA)",,,multiple aromatic carboxylic acid,aromatic carboxylic acid,co-assembled to improve the heterojunction interface,buried interface,26.54,,,,inverted perovskite solar cells,"PCE retention: 96.1 % (after more than 2,400h of 1-sun operation in ambient air)"
Low-loss contacts on textured substrates for inverted perovskite solar cells,,NATURE,48.5,phosphonic acid,407,,phosphonic acid,phosphonic acid,adsorption to form SAM,on light-managing textured substrates,25.3,,,,,"PCE retention: 95 % (stressed at 65 degrees C and 50% relative humidity following more than 1,000 h of maximum power point tracking under 1 sun illumination); duration of MPP tracking: 1000 h (maximum power point tracking under 1 sun illumination)"
Surface reaction for efficient and stable inverted perovskite solar cells,,NATURE,48.5,3-(aminomethyl)pyridine (3-APy),31018,,molecule,,post-growth treatment,on top of a perovskite thin film,,,,,inverted structure (p-i-n architecture),"PCE retention: 87 % (after over 2,400 hours of 1-sun operation at about 55 degrees Celsius in air)"
peri-Fused polyaromatic molecular contacts for perovskite solar cells,,NATURE,48.5,carbazole,6854,,N-substituted pi-conjugated structure,N-substituted,conjugation core,selective contact,26.1,,,,inverted perovskite solar cells,longevity: None None (different accelerated-ageing tests)
peri-Fused polyaromatic molecular contacts for perovskite solar cells,,NATURE,48.5,triphenylamine,11775,,N-substituted pi-conjugated structure,N-substituted,conjugation core,selective contact,26.1,,,,inverted perovskite solar cells,longevity: None None (different accelerated-ageing tests)
Constructive molecular configurations for surface-defect passivation of perovskite photovoltaics,,SCIENCE,45.8,theophylline,2153,,,N-H; C=O,investigated for defect passivation,surface,22.6,,,,metal-halide perovskite photovoltaics,stabilized power conversion efficiency: 22.6 % (None)
Constructive molecular configurations for surface-defect passivation of perovskite photovoltaics,,SCIENCE,45.8,caffeine,2519,,,N-H; C=O,investigated for defect passivation,surface,22.6,,,,metal-halide perovskite photovoltaics,stabilized power conversion efficiency: 22.6 % (None)
Constructive molecular configurations for surface-defect passivation of perovskite photovoltaics,,SCIENCE,45.8,theobromine,5429,,,N-H; C=O,investigated for defect passivation,surface,22.6,,,,metal-halide perovskite photovoltaics,stabilized power conversion efficiency: 22.6 % (None)
Damp heat-stable perovskite solar cells with tailored-dimensionality 2D/3D heterojunctions,,SCIENCE,45.8,oleylammonium iodide,88602270,,,,passivate the perovskite surface at the electron-selective contact,at the electron-selective contact,24.3,,,,two-dimensional perovskite layers,PCE retention: >95 % (after >1000 hours at damp-heat test conditions (85 degrees C and 85% relative humidity))
Electron accumulation across the perovskite layer enhances tandem solar cells with textured silicon,,SCIENCE,45.8,"1,3-diaminopropane dihydroiodide",129655464,,,,perovskite surface treatment,perovskite surface,33.1,2.01,,,hybrid two-step perovskite deposition,extended outdoor stability: None None (in the Red Sea Coast)
Enhanced cation interaction in perovskites for efficient tandem solar cells with silicon,,SCIENCE,45.8,methylenediammonium dichloride,73995009,,,,additive to the perovskite precursor solution,perovskite precursor solution,33.7,,,,1.68 electron volts perovskites,phase stability: None None (prolonged light and heat exposure under 1-sun illumination at 85 degrees C)
Enhanced cation interaction in perovskites for efficient tandem solar cells with silicon,,SCIENCE,45.8,tetrahydrotriazinium (THTZ-H+),,,cation,,incorporated into the perovskite lattice and interacts with lead octahedra through hydrogen bonds with iodide,perovskite lattice upon film crystallization,33.7,,,,1.68 electron volts perovskites,phase stability: None None (prolonged light and heat exposure under 1-sun illumination at 85 degrees C)
Rational design of Lewis base molecules for stable and efficient inverted perovskite solar cells,,SCIENCE,45.8,"1,3-bis(diphenylphosphino)propane (DPPP)",81219,,diphosphine Lewis base,diphosphine; phosphine,"passivates, binds, and bridges interfaces and GBs",interfaces and grain boundaries (GBs),23,,,,metal halide perovskite,PCE retention: None None (continuous operation under simulated AM1.5 illumination at the maximum power point and at similar to 40 degrees C for >3500 hours); PCE increase under thermal open-circuit stress: None None (kept under open-circuit conditions at 85 degrees C for >1500 hours)
Efficient and stable Ruddlesden-Popper perovskite solar cell with tailored interlayer molecular interaction,,NATURE PHOTONICS,32.9,2-(methylthio)ethylamine hydrochloride (MTEACl),22722792,,a new bulky alkylammonium,methylthio; amine; hydrochloride,bulky alkylammonium that exhibits a sulfur-sulfur interaction and contributes to enhanced charge transport and stabilization of the perovskite framework,,18.06,,,,Two-dimensional Ruddlesden-Popper phase (2DRP) perovskites,"moisture tolerance: 1512 h (under 70% humidity conditions); thermal stability: 375 h (at 85 degrees C); stability under continuous light stress: 85 % (over 1,000 h of operation at the maximum power point)"
Enhancing the efficiency and stability of perovskite solar cells via a polymer heterointerface bridge,,NATURE PHOTONICS,32.9,heparin sodium,92044406,,linear polymer,COO-; SO3-; Na+,multifunctional interface bridge layer,connecting the SnO2 electron transport layer and the perovskite film,26.61,,,,n-i-p,"PCE retained: 94.9 % (after 1,800 h under maximum power point tracking under simulated 1-Sun conditions); PCE retained: 95.2 % (ageing at 85 degrees C for 1,800 h)"
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,,NATURE PHOTONICS,32.9,D4PA,,,p-type small molecule,,,co-deposited with the perovskite film,26.72,,,,,"efficiency retention: 97.2 % (continuous operation at their maximum power point for 2,500 h)"
In situ energetics modulation enables high-efficiency and stable inverted perovskite solar cells,,NATURE PHOTONICS,32.9,"tris(2,4,6-trimethyl-3-(pyridin-3-yl)phenyl)borane (3TPYMB)",53426694,,nonionic n-type molecule,pyridin-3-yl; borane; trimethyl,"enables in situ modulation of perovskite energetics, effectively mitigating the key challenges of p-i-n PSCs",perovskite surfaces or grain boundaries,24.55,,,,,"retention of initial efficiency: 97.8 % (unencapsulated devices retaining 97.8% of their initial efficiency after 1,800h of continuous operation at maximum power point under N-2 atmosphere, 1 sun illumination and 60 degrees C conditions)"
Multifunctional entinostat enhances the mechanical robustness and efficiency of flexible perovskite solar cells and minimodules,,NATURE PHOTONICS,32.9,entinostat,4261,,organic molecule,,added into the hole extraction material to enhance adhesion at the perovskite-substrate interface; reduces density of voids and tunes crystallization of perovskites,perovskite-substrate interface,23.4,,,,inverted small-area flexible perovskite,"retention after bending cycles: 84 % (after 5,000 bending cycles); retention after light soaking: 90 % (light soaking for >750 h)"
Multifunctional entinostat enhances the mechanical robustness and efficiency of flexible perovskite solar cells and minimodules,,NATURE PHOTONICS,32.9,"poly(bis(4-phenyl)(2,4,6-trimethylphenyl)amine)",,,hole extraction material,,hole extraction material,,23.4,,,,inverted small-area flexible perovskite,"retention after bending cycles: 84 % (after 5,000 bending cycles); retention after light soaking: 90 % (light soaking for >750 h)"
Amorphous (lysine)2PbI2 layer enhanced perovskite photovoltaics,,NATURE COMMUNICATIONS,15.7,lysine molecule,5962,,molecule,,reactant in a solid phase reaction with PbI2 to form an amorphous (lysine)(2)PbI2 layer,,26.27,,,,halide perovskite,stability: None None (None)
Co-adsorbed self-assembled monolayer enables high-performance perovskite and organic solar cells,,NATURE COMMUNICATIONS,15.7,2-chloro-5-(trifluoromethyl)isonicotinic acid (PyCA-3F),11264608,,small molecule,chloro; trifluoromethyl; isonicotinic acid,co-adsorb used in CA strategy,buried interface between 2PACz and the perovskite/organic layers,,,,,p-i-n structure,"PCE retention (PSC): 90 % (1000-hour maximal power point tracking, encapsulated PSCs); PCE retention (OSC): 80 % (1000-hour maximal power point tracking, encapsulated OSCs)"
Co-adsorbed self-assembled monolayer enables high-performance perovskite and organic solar cells,,NATURE COMMUNICATIONS,15.7,2PACz,154704302,,,,aggregation-prone component whose aggregation is diminished by the CA strategy,buried interface (implied in context with PyCA-3F),,,,,p-i-n structure,"PCE retention (PSC): 90 % (1000-hour maximal power point tracking, encapsulated PSCs); PCE retention (OSC): 80 % (1000-hour maximal power point tracking, encapsulated OSCs)"
Co-adsorbed self-assembled monolayer enables high-performance perovskite and organic solar cells,,NATURE COMMUNICATIONS,15.7,PTQ10,139035630,,,,component of PM1:PTQ10:m-BTP-PhC6 photoactive system,,,,,,p-i-n structure,"PCE retention (PSC): 90 % (1000-hour maximal power point tracking, encapsulated PSCs); PCE retention (OSC): 80 % (1000-hour maximal power point tracking, encapsulated OSCs)"
Co-adsorbed self-assembled monolayer enables high-performance perovskite and organic solar cells,,NATURE COMMUNICATIONS,15.7,m-BTP-PhC6,,,,,component of PM1:PTQ10:m-BTP-PhC6 photoactive system,,,,,,p-i-n structure,"PCE retention (PSC): 90 % (1000-hour maximal power point tracking, encapsulated PSCs); PCE retention (OSC): 80 % (1000-hour maximal power point tracking, encapsulated OSCs)"
Defect passivation in methylammonium/bromine free inverted perovskite solar cells using charge-modulated molecular bonding,,NATURE COMMUNICATIONS,15.7,Piperazine dihydriodide (PZDI),20068687,,,alkyl core; electron cloud-rich-NH terminal,"mitigating surface and bulk defects and modifying surface chemistry or interfacial energy band, ultimately leading to improved carrier extraction",surface chemistry or interfacial energy band,23.17,,,,Methylammonium-free perovskites,operational stability: None None (None)
Efficient wide-bandgap perovskite photovoltaics with homogeneous halogen-phase distribution,,NATURE COMMUNICATIONS,15.7,2-(9H-Carbazol-9-yl)ethyl]phosphonic acid,154704302,,molecule,Carbazol; phosphonic acid,provide nucleation sites for perovskite crystallization,double-layer structure (D-2P),20.8,1.32,,,Wide-bandgap (WBG) perovskite solar cells (1.75 eV),
Enhancing stability and efficiency of perovskite solar cells with crosslinkable silane-functionalized and doped fullerene,,NATURE COMMUNICATIONS,15.7,fullerene,,,,,electron transport layer,fullerene layer / electron transport layer,19.5,,,80.6,hybrid perovskite materials,efficiency retention: 90 % (after 30 days' exposure in an ambient environment)
Enhancing stability and efficiency of perovskite solar cells with crosslinkable silane-functionalized and doped fullerene,,NATURE COMMUNICATIONS,15.7,Methylammonium iodide,519034,,,,"introduced in the fullerene layer for n-doping via anion-induced electron transfer, resulting in dramatically increased conductivity over 100-fold",in the fullerene layer,19.5,,,80.6,hybrid perovskite materials,efficiency retention: 90 % (after 30 days' exposure in an ambient environment)
Flexibility meets rigidity: a self-assembled monolayer materials strategy for perovskite solar cells,,NATURE COMMUNICATIONS,15.7,(4-(diphenylamino)phenyl)phosphonic acid,85616715,,SAM material,diphenylamino; phenyl; phosphonic acid,model molecule,interface engineering in perovskite solar cells,26.21,,,,perovskite solar cells,
Flexibility meets rigidity: a self-assembled monolayer materials strategy for perovskite solar cells,,NATURE COMMUNICATIONS,15.7,(4-(9H-carbazol-9-yl)phenyl)phosphonic acid,,,SAM material,9H-carbazol-9-yl; phenyl; phosphonic acid,traditional material,interface engineering in perovskite solar cells,26.21,,,,perovskite solar cells,
Flexibility meets rigidity: a self-assembled monolayer materials strategy for perovskite solar cells,,NATURE COMMUNICATIONS,15.7,(4-(diphenylamino)phenethyl)phosphonic acid,,,SAM material,diphenylamino; phenethyl; phosphonic acid,traditional material,interface engineering in perovskite solar cells,26.21,,,,perovskite solar cells,
How machine learning can help select capping layers to suppress perovskite degradation,,NATURE COMMUNICATIONS,15.7,phenyltriethylammonium iodide (PTEAI),70524,,organic halide,,top performing organic halide; capping layer,on top of the perovskite absorber (capping layer) / onto methylammonium lead iodide (MAPbI(3)) films,,,,,methylammonium lead iodide (MAPbI(3)),stability lifetime improvement vs bare MAPbI(3): 42 times (applied as capping layers onto MAPbI(3) films and aged under accelerated conditions); stability lifetime improvement vs OABr: 1.3 +/- 0.3 times (applied as capping layers onto MAPbI(3) films and aged under accelerated conditions)
How machine learning can help select capping layers to suppress perovskite degradation,,NATURE COMMUNICATIONS,15.7,octylammonium bromide (OABr),53422655,,organic halide salt,,state-of-the-art comparator; capping layer,as capping layers onto methylammonium lead iodide (MAPbI(3)) films,,,,,methylammonium lead iodide (MAPbI(3)),stability lifetime improvement vs bare MAPbI(3): 42 times (applied as capping layers onto MAPbI(3) films and aged under accelerated conditions); stability lifetime improvement vs OABr: 1.3 +/- 0.3 times (applied as capping layers onto MAPbI(3) films and aged under accelerated conditions)
In-situ cross-linking strategy for efficient and operationally stable methylammoniun lead iodide solar cells,,NATURE COMMUNICATIONS,15.7,trimethylolpropane triacrylate (TMTA),27423,,cross-linkable organic small molecule additive,,additive incorporated into perovskite films to enable in-situ cross-linking,grain boundaries,,,,,MAPbI(3),operational stability improvement: 590-fold None (None); efficiency retention after continuous power output: 80 % (continuous power output for 400 h at maximum power point under full-sun AM 1.5 G illumination of Xenon lamp without any UV-filter); efficiency retention after moisture or thermal aging: 90 % (under moisture or thermal (85 degrees C) conditions after aging for over 1000 h)
Inhibiting perovskite decomposition by a creeper-inspired strategy enables efficient and stable perovskite solar cells,,NATURE COMMUNICATIONS,15.7,poly-hexamethyleneguanidine hydrochloride,,,molecular creeper,guanidinium groups,inhibit its decomposition starting from the annealing process,on perovskite,25.42,,,,planar perovskite,efficiency retention: >96 % (1300 hours of operation under 1-sun illumination); efficiency retention: >96 % (1000 hours of storage under 85% RH); stability: None None (harsh damp-heat conditions)
Lattice stabilization and strain homogenization in Sn-Pb bottom subcells enable stable all-perovskite tandems solar cells,,NATURE COMMUNICATIONS,15.7,"sodium naphthalene-1,3,6-trisulfonate (NTS)",123134499,,rigid sulfonate-based molecule,sulfonate; trisulfonate,strengthens the Sn-I bond through Sn-trisulfonate coordination and reduces light-induced dynamic lattice distortions,into tin-lead (Sn-Pb) perovskites,29.6,,,,tin-lead (Sn-Pb) perovskites,efficiency retention: 93.1 % (after 700 h of continuous operation)
Low-temperature sequential deposition for efficient inverted perovskite solar cells,,NATURE COMMUNICATIONS,15.7,3-ethyl-1-methyl-1H-imidazol-3-ium dimethyl phosphate,,,,,"introduced into lead iodide precursor solution to facilitate the sufficient reaction between lead iodide and organic salts, and lower the energy barrier from delta- to alpha-perovskite",,26,1.21,,,alpha-phase perovskite,stability: None None (ISOS-D-3); stability: None None (ISOS-L-2)
Methylamine-assisted growth of uniaxial-oriented perovskite thin films with millimeter-sized grains,,NATURE COMMUNICATIONS,15.7,methylamine (MA(0)),,,gas,,component of gas-assisted crystallization method,,21.36,,,,methylammonium lead iodide (MAPbI(3)),trap density: None None (None); carrier lifetime: None None (None); environmental stability: None None (None)
Redox-Improved Self-Assembled Monolayers for Inverted Perovskite Solar Cells,,NATURE COMMUNICATIONS,15.7,MeOF-4SHCz,,,SAM molecule,,self-assembled monolayer (SAM); part of hole transport layer (HTL),Ni3+-rich regions on the NiOx substrate,26.5,,,,Inverted perovskite solar cells (pero-SCs),T-90: None hours (T-90 > 1000 hours)
Redox-Improved Self-Assembled Monolayers for Inverted Perovskite Solar Cells,,NATURE COMMUNICATIONS,15.7,MeOF-4PACz,,,SAM,,self-assembled monolayer (SAM); part of hole transport layer (HTL),on NiOx (combined with MeOF-4SHCz),26.5,,,,Inverted perovskite solar cells (pero-SCs),T-90: None hours (T-90 > 1000 hours)
Self-assembled materials with an ordered hydrophilic bilayer for high performance inverted Perovskite solar cells,,NATURE COMMUNICATIONS,15.7,"4-(7H-dibenzo[c,g]carbazol-7-yl)phenyl)phosphonic acid",,,self-assembled material based hole-selective layer,phosphonic acid,"hole-selective layer; passivates the buried perovskite interface defect and enables high-quality and large-area perovskite preparation, while simultaneously enhancing interfacial charge extraction and transport",buried perovskite interface,26.39,,,,inverted perovskite solar cells,stability: None None (None)
Sustainable thermal regulation improves stability and efficiency in all-perovskite tandem solar cells,,NATURE COMMUNICATIONS,15.7,ortho-carborane,73407513,,,,selected due to its low thermal hysteresis,,27,,,,Mixed Sn-Pb perovskites,PCE retention: 80 % (aging at 85 degrees C for 1080hours); PCE retention: 87 % (704h of continuous operation under illumination)
Sustainable thermal regulation improves stability and efficiency in all-perovskite tandem solar cells,,NATURE COMMUNICATIONS,15.7,PEDOT:PSS,,,,,,perovskite/PEDOT:PSS interface,27,,,,Mixed Sn-Pb perovskites,PCE retention: 80 % (aging at 85 degrees C for 1080hours); PCE retention: 87 % (704h of continuous operation under illumination)
Tailoring pyridine bridged chalcogen-concave molecules for defects passivation enables efficient and stable perovskite solar cells,,NATURE COMMUNICATIONS,15.7,n-Bu4S,,,Lewis base,chalcogen-thiophene; tetra-pyridine; pyridine group; chalcogen-concave group,passivate defects in perovskite film,perovskite bulk and surface,25.37,,,,,stable operation: 1300 hours (65 degrees C and 1-sun illumination in N2 (ISOS-L-2 protocol)); retained efficiency: 94 % (65 degrees C and 1-sun illumination for 1300 hours in N2 (ISOS-L-2 protocol))
Tailoring pyridine bridged chalcogen-concave molecules for defects passivation enables efficient and stable perovskite solar cells,,NATURE COMMUNICATIONS,15.7,n-Bu4Se,,,Lewis base,selenophene; tetra-pyridine; pyridine group; chalcogen-concave group,passivate defects in perovskite film,perovskite bulk and surface,25.37,,,,,stable operation: 1300 hours (65 degrees C and 1-sun illumination in N2 (ISOS-L-2 protocol)); retained efficiency: 94 % (65 degrees C and 1-sun illumination for 1300 hours in N2 (ISOS-L-2 protocol))
Ultrathin polymer membrane for improved hole extraction and ion blocking in perovskite solar cells,,NATURE COMMUNICATIONS,15.7,D18,,,p-type polymeric interlayer,,p-type polymeric interlayer with excellent ion-blocking ability between perovskite and HTL; improves the energy-level alignment at the perovskite/HTL interface and facilitates efficient hole extraction,between perovskite and HTL,26.39,,,,n-i-p,retention of initial efficiency: 95.4 % (after 1100 hours of operation in maximum power point tracking)
Chemical anti-corrosion strategy for stable inverted perovskite solar cells,,SCIENCE ADVANCES,13.6,benzotriazole (BTA),7220,,organic corrosion inhibitor,,corrosion inhibitor / chemical anticorrosion agent,to the Cu electrode,,,,,inverted perovskite solar cells (PSCs),air stability: 92.8 % (aging for 2500 hours); thermal aging: None % (85 degrees C aging for over 1000 hours); operational stability (maximum power point tracking): 88.6 % (continuous maximum power point tracking for 1000 hours)
Chemical anti-corrosion strategy for stable inverted perovskite solar cells,,SCIENCE ADVANCES,13.6,[BTA-Cu],,,insoluble and polymeric film,,film that suppresses electrochemical corrosion and reaction between perovskite and the Cu electrode,on the Cu electrode,,,,,inverted perovskite solar cells (PSCs),air stability: 92.8 % (aging for 2500 hours); thermal aging: None % (85 degrees C aging for over 1000 hours); operational stability (maximum power point tracking): 88.6 % (continuous maximum power point tracking for 1000 hours)
Perovskite grain wrapping by converting interfaces and grain boundaries into robust and water-insoluble low-dimensional perovskites,,SCIENCE ADVANCES,13.6,tributyl(methyl)phosphonium iodide (TPI),12864151,,molecule,,convert perovskite into a wide bandgap one-dimensional (1D) perovskite; wrap perovskite grains; passivate grain boundaries; enhance resistance to moisture; reduce iodine released during light soaking,grain surfaces and grain boundaries,,,,,wide bandgap one-dimensional (1D) perovskite,maintained efficiency: 92.2 % (light soaking under 1-sun illumination for 1900 hours at 55 degrees C open-circuit condition); stability under heat and light: None None (None)
Polymer-modified halide perovskite films for efficient and stable planar heterojunction solar cells,,SCIENCE ADVANCES,13.6,poly(4-vinylpyridine) (PVP),,,polymer,,polymer modifier,perovskite film,20.2,1.16,,,CH3NH3PbI3,"stabilized champion efficiency: 19.1 % (under a bias of 0.94 V and AM (air mass) 1.5-G, 1-sun illumination over 30 min); shelf lifetime (PVP-treated): 90 days (retaining 85% of the initial efficiency); shelf lifetime (control): 4 days (degrading to 85%)"
An Efficient Trap Passivator for Perovskite Solar Cells: Poly(propylene glycol) bis(2-aminopropyl ether),,NANO-MICRO LETTERS,36.3,poly(propylene glycol) bis(2-aminopropyl ether) (PEA),,,additive,,utilized to passivate the trap states in perovskite; block moisture and oxygen; relieve hysteresis; improve PCE,surface and bulk,21.6,,,,MAPbI(3) and (FAPbI(3))(1-x)(MAPbBr(3))(x),long-term stability / device lifetime: None None (None)
Efficient and Stable Perovskite Solar Cells and Modules Enabled by Tailoring Additive Distribution According to the Film Growth Dynamics,,NANO-MICRO LETTERS,36.3,"1,3-bis(4-methoxyphenyl)thiourea",706970,,additive molecule,,to obtain films with fewer defects and holes at the buried interface,buried interface,23.75,,,,,T-90: > 1000 h (maximum power point tracking in ambient air)
Gelation of Hole Transport Layer to Improve the Stability of Perovskite Solar Cells,,NANO-MICRO LETTERS,36.3,spiro-OMeTAD,16161850,,HTL,,HTL; requires chemical doping for conductivity and hole extraction,HTL,22.52,,,,,device stability: None None (None); operational robustness in the atmospheric environment: None None (atmospheric environment)
Gelation of Hole Transport Layer to Improve the Stability of Perovskite Solar Cells,,NANO-MICRO LETTERS,36.3,LiTFSI,3816071,,lithium compound,,chemical dopant (lithium salt dopant) for spiro-OMeTAD,doping of spiro-OMeTAD (HTL),22.52,,,,,device stability: None None (None); operational robustness in the atmospheric environment: None None (atmospheric environment)
Gelation of Hole Transport Layer to Improve the Stability of Perovskite Solar Cells,,NANO-MICRO LETTERS,36.3,thioctic acid (TA),864,,natural small molecule additive,,additive; used to create a gel when mixed with spiro-OMeTAD; passivates perovskite defects; facilitates charge transfer,mixed with spiro-OMeTAD in the HTL,22.52,,,,,device stability: None None (None); operational robustness in the atmospheric environment: None None (atmospheric environment)
Self-Regulated Bilateral Anchoring Enables Efficient Charge Transport Pathways for High-Performance Rigid and Flexible Perovskite Solar Cells,,NANO-MICRO LETTERS,36.3,squaric acid (SA),17913,,interfacial molecule,dicarboxylic acid groups; four-membered ring conjugated structure,molecular bridge; electron transport pathway; inhibit generation of diverse charged defects,between the perovskite and SnO2 layer; SnO2/SA and SA/PbI2 interfaces; buried interface,25.5,,,,,stability at maximum power point: None None (maximum power point)
Textured Perovskite/Silicon Tandem Solar Cells Achieving Over 30% Efficiency Promoted by 4-Fluorobenzylamine Hydroiodide,,NANO-MICRO LETTERS,36.3,4-fluorobenzylamine hydroiodide (F-PMAI),162343474,,bulky organic molecule,,perovskite additive; enlarged perovskite grains; induced (111) preferred orientation; passivated interface defects; retarded crystallization,bottom and top of perovskite film,30.05,,,,monolithic perovskite/silicon tandem solar cell,long-term thermal and light stability: None None (without encapsulation)
Tuning Isomerism Effect in Organic Bulk Additives Enables Efficient and Stable Perovskite Solar Cells,,NANO-MICRO LETTERS,36.3,"2,7-CzBP",,,carbazolyl bisphosphonate additive,carbazolyl; bisphosphonate; P = O; N-H,additive; passivation; bridge perovskite crystallites to facilitate charge transport,perovskite crystallites,25.88,,,,perovskite solar cells,PCE retention: 95 % (after 1000 h of continuous maximum power point tracking)
Tuning Isomerism Effect in Organic Bulk Additives Enables Efficient and Stable Perovskite Solar Cells,,NANO-MICRO LETTERS,36.3,"3,6-CzBP",,,carbazolyl bisphosphonate additive,carbazolyl; bisphosphonate; P = O; N-H,additive; passivation,,25.88,,,,perovskite solar cells,PCE retention: 95 % (after 1000 h of continuous maximum power point tracking)
Bifunctional ligand-induced preferred crystal orientation enables highly efficient perovskite solar cells,,JOULE,35.4,2-(methylthio) ethylamine hydrochloride (METEAM),87697,,bifunctional ligand,methylthio; ethylamine; hydrochloride,induce oriented perovskite crystallization; bridge between perovskite and SnO2 to passivate defects,buried interface; between the perovskite and tin oxide (SnO2) electron transport layer,26.1,,,,(100)-oriented perovskite,operational and ambient stabilities: None None (None)
